"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Cygnus olor","Anatidae","疣鼻天鹅","Mute Swan","Cisne vulgar","Cygne tuberculé","Höckerschwan","Лебедь-шипун","Cigno reale","cisne-mudo","コブハクチョウ","433","https://www.gbif.org/species/2498343","https://baike.baidu.com/item/疣鼻天鹅"
"Anser erythropus","Anatidae","小白额雁","Lesser White-fronted Goose","Ánsar chico","Oie naine","Zwerggans","Пискулька","Oca lombardella minore","ganso-pequeno-de-testa-branca","カリガネ","390","https://www.gbif.org/species/2498026","https://baike.baidu.com/item/小白额雁"
"Nettapus coromandelianus","Anatidae","棉凫","Cotton Pygmy Goose","Gansito asiático","Anserelle de Coromandel","Koromandelzwergente","Хлопковый блестящий чирок","Oca pigmea indiana","ganso-pigmeu-asiático","ナンキンオシ","344","https://www.gbif.org/species/2498310","https://baike.baidu.com/item/棉凫"
"Clangula hyemalis","Anatidae","长尾鸭","Long-tailed Duck","Pato havelda","Harelde kakawi","Eisente","Морянка","Moretta codona","pato-rabilongo","コオリガモ","285","https://www.gbif.org/species/2498273","https://baike.baidu.com/item/长尾鸭"
"Melanitta stejnegeri","Anatidae","斑脸海番鸭","Stejneger's Scoter","Negrón siberiano","Macreuse de Sibérie","Kamtschatkasamtente",NULL,"Orco marino di Stejneger","negrola-siberiana","ビロードキンクロ","270","https://www.gbif.org/species/10056448","https://baike.baidu.com/item/斑脸海番鸭"
"Dendrocygna javanica","Anatidae","栗树鸭","Lesser Whistling Duck","Suirirí de Java","Dendrocygne siffleur","Javapfeifgans","Малая древесная утка","Dendrocigna indiana","dendrocisne-javanês","リュウキュウガモ","209","https://www.gbif.org/species/2498404","https://baike.baidu.com/item/栗树鸭"
"Cairina moschata","Anatidae","疣鼻栖鸭","Muscovy Duck","Pato criollo","Canard musqué","Moschusente","Мускусная утка","Anatra muta","pato-mudo","ノバリケン","150","https://www.gbif.org/species/9751099","https://baike.baidu.com/item/疣鼻栖鸭"
"Mareca americana","Anatidae","绿眉鸭","American Wigeon","Silbón americano","Canard d’Amérique","Kanadapfeifente","Американская свиязь","Fischione americano","piadeira-americana","アメリカヒドリ","140","https://www.gbif.org/species/2498155","https://baike.baidu.com/item/绿眉鸭"
"Oxyura leucocephala","Anatidae","白头硬尾鸭","White-headed Duck","Malvasía cabeciblanca","Érismature à tête blanche","Weißkopf-Ruderente","Савка","Gobbo rugginoso","pato-de-rabo-alçado-europeu","カオジロオタテガモ","139","https://www.gbif.org/species/2498302","https://baike.baidu.com/item/白头硬尾鸭"
NULL,"Anatidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"96",NULL,NULL
"Anser caerulescens","Anatidae","雪雁","Snow Goose","Ánsar nival","Oie des neiges","Schneegans","Белый гусь","Oca delle nevi","ganso-das-neves","ハクガン","90","https://www.gbif.org/species/2498167","https://baike.baidu.com/item/雪雁"
